IDSBR,Nama Usaha,Alamat,Kode Wilayah,kode_kecamatan,alamat
97461282,89 cell,jl talasalapang perum jipang permai blok dp 9 no 5,7371031002,7371031,jl talasalapang perum jipang permai blok dp 9 no 5
97470855,bengkel maha meru motor,jl rappocini raya no 26,7371031009,7371031,jl rappocini raya no 26
97470856,briton english,jl aroepala no 41,7371031004,7371031,jl aroepala no 41
97465819,ud rasni budi mulia,jl talasalapang no 99,7371031002,7371031,jl talasalapang no 99
97470932,penjual pulsa (salmiati),jl rappocini raya lr 3,7371031009,7371031,jl rappocini raya lr 3
97451315,stokers hp,jl faisal ii no 35,7371031007,7371031,jl faisal ii no 35
97465981,fabel cell,jalan tidung 10 no 246,7371031003,7371031,jalan tidung 10 no 246
97451450,roemah sablon makassar,jl tidung 9 stp 12 no 271,7371031003,7371031,jl tidung 9 stp 12 no 271
97451451,hotel ruby,jl pengayoman,7371031008,7371031,jl pengayoman
97471193,kantor pengacara amirullah tahir,jalan ap pettarani ruko new zamrud,7371031008,7371031,jalan ap pettarani ruko new zamrud
97465271,istana variasi (rudi),sultan alauddin,7371031001,7371031,sultan alauddin
97451536,apotek setia farma (adi),tamalate 1 noia,7371031005,7371031,tamalate 1 noia
97451642,sukses jaya motor (yosep),jl mon.emmy saelan,7371031006,7371031,jl mon.emmy saelan
97465395,frasya fashion,landak baru,7371031007,7371031,landak baru
97465489,depot sas,jalan tidung 10 no 263,7371031003,7371031,jalan tidung 10 no 263
97448520,sd muhammadiyah,jl rappocini raya lr 2 no 16,7371031009,7371031,jl rappocini raya lr 2 no 16
97455202,bank sampah (hasnah),jl rappociniraya lr 2,7371031009,7371031,jl rappociniraya lr 2
97455266,bank sampah aisiyah,jl rappocini raya no.7a,7371031009,7371031,jl rappocini raya no.7a
97455379,sd inpres cilallan <hj. hasniah>,jl cilallan jaya no 30,7371031008,7371031,jl cilallan jaya no 30
97459674,jualan bakso tusuk keliling,jalan tidung,7371031003,7371031,jalan tidung
97464034,penjahitan sasikin (karim),jl tidung 10 stp 7 no.64,7371031003,7371031,jl tidung 10 stp 7 no.64
97455607,jual barang plastik (humairah),monginsidi baru,7371031010,7371031,monginsidi baru
97455667,jual pulsa (syamsinar),jalan tidung 7,7371031003,7371031,jalan tidung 7
97452758,warung sembako(abdul azis),jalan tidung 7,7371031003,7371031,jalan tidung 7
97455755,toko sembako (putri),jl kr bontotangnga,7371031002,7371031,jl kr bontotangnga
97473301,usaha bentor (marlin),jl jamalate 2 ujung,7371031003,7371031,jl jamalate 2 ujung
97473342,cuci motor (buhatija),jl tidung 10 stp 1 no 28,7371031003,7371031,jl tidung 10 stp 1 no 28
97473377,toko atifak,komp ikip blok g iii no 9,7371031006,7371031,komp ikip blok g iii no 9
97473396,toko (rahman),jl tidung 10 stp 7 no 14,7371031003,7371031,jl tidung 10 stp 7 no 14
97473433,tk mahardika,faisal,7371031007,7371031,faisal
97473435,briton,jalan talasalapang,7371031002,7371031,jalan talasalapang
97476264,gedung auditorium amanagappa,jl raya pendidikan unm,7371031006,7371031,jl raya pendidikan unm
97468653,apotik mirzha,aropala no 26,7371031004,7371031,aropala no 26
97476287,toko (hj hajerawati),jl tidung 9 no 139,7371031003,7371031,jl tidung 9 no 139
97476307,natural walpaper,jl rappocini raya no 89 c,7371031009,7371031,jl rappocini raya no 89 c
97476370,penjualan pakaian anak (andi tenri a),jl bontolangkasa,7371031007,7371031,jl bontolangkasa
97468706,tpa al jauharatul hudro,jl hertasning baru,7371031004,7371031,jl hertasning baru
97473642,rusdi gallery,landak baru kompleks,7371031007,7371031,landak baru kompleks
97468745,bakmi jawa pak pardi,hertasning baru no 30,7371031004,7371031,hertasning baru no 30
97473737,foto copy,jl talasalapang perum jipang permai blok dp 9 no 5,7371031002,7371031,jl talasalapang perum jipang permai blok dp 9 no 5
97473773,warung sembako,komp ikip blok b iii no 17,7371031006,7371031,komp ikip blok b iii no 17
97474397,bengkel rm 09,jl tidung 9 stp 11 no 140,7371031003,7371031,jl tidung 9 stp 11 no 140
97473889,rini berkah (kue kering),jl tidung 9 stp 4 no 100,7371031003,7371031,jl tidung 9 stp 4 no 100
97474625,jualan pakaian (paja),jl tamalate 2 ujung,7371031003,7371031,jl tamalate 2 ujung
97474054,kopi sahabat (maemunah),jl tidung 10 no 8,7371031003,7371031,jl tidung 10 no 8
97473998,jr loundry (ismail),tamalate 1 no 12 b,7371031005,7371031,tamalate 1 no 12 b
